VideoID,Title,CategoryID,Description,Tags,CategoryCheck,TagsCheck,DescriptionCheck,Is_Music,Is_Music_Manual
KcSnUxN54kU,Tumio hete dekho Kolkata | presented by খেলা ঘর 🎥,22,"['#kolkata', '#prakton', '#bengalisong', '#musicvideo', '#youtube', 'kolkata', 'song', 'sung', 'anupam', 'roy', 'shreya', 'ghoshal', 'praktan', 'bengali', 'movie.', '🔔', 'get', 'new', 'video', 'notification', ',press', 'bell', 'icon🔔', 'connect', 'us', '👉👥', 'facebook', '⬇️', 'https://www.facebook.com/jui.howladar.97', 'https://www.facebook.com/arnab.majumder.777', 'instagram', '⬇️', 'www.instagram.com/jui_life24', 'www.instagram.com/arnab_arsh', 'song', 'lyrics', 'sohor', 'jure', 'jeno', 'premer', 'morshum', 'alote', 'makha-makhi', 'amar', 'e', 'green', 'room', 'kokhono', 'neme', 'ashe', 'ochena', 'parachute', 'tomake', 'bhalobeshe', 'amar', 'chirkut', 'kolkata', 'tumio', 'hete', 'dekho', 'kolkata', 'tumio', 'bhebe', 'dekho', 'kolkata', 'tumio', 'hente', 'dekho', 'kolkata', 'tumio', 'vebe', 'dekho', 'jabe', 'kina', 'jabe', 'amar', 'sathe', 'ghum', 'bhange', 's-planet', 'khola', 'bhange', 'chine-badam', 'chena', 'kono', 'ghaser', 'daag', 'shuye', 'thaka', 'ki', 'aaram', 'khuje', 'dite', 'na', 'parle', 'aari', 'amar', 'byomkesh', 'bakshir', 'bari', 'tobei', 'tomar', 'kotha', 'kolkata', 'kolkata', 'shob', 'kichu', 'mene', 'nite', 'paari']", ,0,0,1,Maybe,Y
i2hG11i85ds,Luke Christopher - On Fire,24,"['subscribe', 'swagytracks', 'music', 'daily', '!', 'http://bit.ly/subscribeswagy', '.........', '•', 'luke', 'christopher', '-', 'https://twitter.com/lukechrismuzic', 'https://soundcloud.com/lukechristopher', 'https://www.facebook.com/lukechrismuzic', 'download', 'track', '•', 'https://soundcloud.com/swagytracks/luke-christopher-on-fire', 'picture', 'credit', '•', 'http://www.flickr.com/photos/68296155@n04/9255330734/', 'owner', 'picture', 'want', 'removed,contact', 'delete', 'video', 'soon', 'possible,no', 'drama!', '.........', 'follow', 'swagytracks', 'facebook', '•', 'http://www.facebook.com/swagytracks', 'twitter', '•', 'https://twitter.com/swagytracks', 'soundcloud', '•', 'https://soundcloud.com/swagytracks', 'instagram', '•', 'http://instagram.com/swagytracks', 'tumblr', '•', 'http://swagytracks.tumblr.com', '.........', 'copyright', 'infringement', 'intended', 'song', 'picture.', 'issue', 'posting', 'song', 'picture', 'please', 'contact', 'one', 'social', 'networks', 'youtube', 'private', 'messaging', 'system.', 'received', 'message', 'determined', 'proper', 'owner', 'content', 'removed,', 'drama', 'all.', 'channel', 'strictly', 'promotion', 'towards', 'artists', 'music.', 'try', 'help', 'promote', 'music', 'social', 'networks.']", ,1,0,1,Maybe,Y
TdL-Z7CAtOc,Luke Christopher - Intoxication,24,"['subscribe', 'swagytracks', 'music', 'daily', '!', 'http://bit.ly/subscribeswagy', '.........', 'download', 'track', '•', 'http://eargasmic.me/1gmwpuv', '•', 'luke', 'christopher', '-', 'https://twitter.com/lukechrismuzic', 'https://soundcloud.com/lukechristopher', 'https://www.facebook.com/lukechrismuzic', 'picture', 'credit', '•', 'https://unsplash.com/ratushnui', '.........', 'follow', 'swagytracks', 'facebook', '•', 'http://www.facebook.com/swagytracks', 'twitter', '•', 'https://twitter.com/swagytracks', 'soundcloud', '•', 'https://soundcloud.com/swagytracks']", ,1,0,1,Maybe,Y
Vn-HZAubUfg,Luke Christopher - Puzzle In My Mind (ft. Julie Moon),24,"['subscribe', 'swagytracks', 'music', 'daily', '!', 'http://bit.ly/subscribeswagy', '.........', '•', 'luke', 'christopher', '-', 'https://twitter.com/lukechrismuzic', 'https://soundcloud.com/lukechristopher', 'https://www.facebook.com/lukechrismuzic', 'download', 'track', '•', 'available,', 'sorry!', 'picture', 'credit', '•', 'found.', 'somebody', 'knows', 'took', 'picture,', 'please', 'contact', 'me!', 'owner', 'picture', 'want', 'removed,', 'contact', 'delete', 'video', 'soon', 'possible,', 'drama!', '.........', 'follow', 'swagytracks', 'facebook', '•', 'http://www.facebook.com/swagytracks', 'twitter', '•', 'https://twitter.com/swagytracks', 'soundcloud', '•', 'https://soundcloud.com/swagytracks', 'instagram', '•', 'http://instagram.com/swagytracks', 'tumblr', '•', 'http://swagytracks.tumblr.com', '.........', 'copyright', 'infringement', 'intended', 'song', 'picture.', 'issue', 'posting', 'song', 'picture', 'please', 'contact', 'one', 'social', 'networks', 'youtube', 'private', 'messaging', 'system.', 'received', 'message', 'determined', 'proper', 'owner', 'content', 'removed,', 'drama', 'all.', 'channel', 'strictly', 'promotion', 'towards', 'artists', 'music.', 'try', 'help', 'promote', 'music', 'social', 'networks.']", ,1,0,1,Maybe,Y
QtLXvh8mv3o,ODESZA - Say My Name (Luke Christopher Remix),24,"['subscribe', 'swagytracks', 'music', 'daily', '!', 'http://bit.ly/subscribeswagy', '.........', 'download', 'track', '•', 'http://eargasmic.me/1ygxs7g', '•', 'luke', 'christopher', '-', 'https://twitter.com/lukechrismuzic', 'https://soundcloud.com/lukechristopher', 'https://www.facebook.com/lukechrismuzic', '•', 'odesza', '-', 'https://soundcloud.com/odesza', 'http://odesza.com', 'https://www.facebook.com/odesza', 'https://twitter.com/odesza', 'picture', 'credit', '•', 'http://matthewsmith.cc/', 'owner', 'picture', 'want', 'removed,contact', 'delete', 'video', 'soon', 'possible,no', 'drama!', '.........', 'follow', 'swagytracks', 'facebook', '•', 'http://www.facebook.com/swagytracks', 'twitter', '•', 'https://twitter.com/swagytracks', 'soundcloud', '•', 'https://soundcloud.com/swagytracks', 'instagram', '•', 'http://instagram.com/swagytracks', 'tumblr', '•', 'http://swagytracks.tumblr.com', '.........', 'copyright', 'infringement', 'intended', 'song', 'picture.', 'issue', 'posting', 'song', 'picture', 'please', 'contact', 'one', 'social', 'networks', 'youtube', 'private', 'messaging', 'system.', 'received', 'message', 'determined', 'proper', 'owner', 'content', 'removed,', 'drama', 'all.', 'channel', 'strictly', 'promotion', 'towards', 'artists', 'music.', 'try', 'help', 'promote', 'music', 'social', 'networks.']", ,1,0,1,Maybe,Y
0vsnwUJjunU,Abstract - I'm Good (ft. RoZe) (Prod. Drumma Battalion),24,"['download', 'track', '•', 'http://eargasmic.me/1trqeue', '•', 'abstract', '-', 'https://soundcloud.com/abstract-official', 'http://www.facebook.com/youknowabstract', 'https://twitter.com/thetrueabstract', 'http://www.youtube.com/user/abstracttherapper', 'picture', 'credit', '•', 'https://www.flickr.com/photos/94444743@n04/13118510385/', 'owner', 'picture', 'want', 'removed,', 'contact', 'delete', 'video', 'soon', 'possible,', 'drama!', '.........', 'follow', 'swagytracks', 'facebook', '•', 'http://www.facebook.com/swagytracks', 'twitter', '•', 'https://twitter.com/swagytracks', 'soundcloud', '•', 'https://soundcloud.com/swagytracks', 'instagram', '•', 'http://instagram.com/swagytracks', 'tumblr', '•', 'http://swagytracks.tumblr.com', '.........', 'copyright', 'infringement', 'intended', 'song', 'picture.', 'issue', 'posting', 'song', 'picture', 'please', 'contact', 'one', 'social', 'networks', 'youtube', 'private', 'messaging', 'system.', 'received', 'message', 'determined', 'proper', 'owner', 'content', 'removed,', 'drama', 'all.', 'channel', 'strictly', 'promotion', 'towards', 'artists', 'music.', 'try', 'help', 'promote', 'music', 'social', 'networks.']", ,1,0,1,Maybe,Y
O81P0dWo6yg,Abstract - Neverland (ft. Ruth B) (Prod. Blulake),24,"['watch', 'official', 'music', 'video', 'song', 'here:', 'https://youtu.be/iaw3ev0ymj8', '.........', 'download', 'track', '•', 'http://eargasmic.me/1g4lgkq', '•', 'abstract', '-', 'https://soundcloud.com/abstract-official', 'http://www.facebook.com/youknowabstract', 'https://twitter.com/thetrueabstract', 'http://www.youtube.com/user/abstracttherapper', '•', 'blulake', '-', 'https://twitter.com/gmolisch', 'http://soundcloud.com/blulakebeats', 'http://soundcloud.com/blulake', 'http://youtube.com/mltmfhc', 'http://facebook.com/blulakeprd', 'produced', 'blulake', 'mixed/mastered', 'craig', 'mcallister', 'piano', 'chorus', 'vocals', 'belong', 'ruth', ""b's"", '-', 'lost', 'boy', 'picture', 'credit', '•', 'https://unsplash.com/timmossholder', 'owner', 'picture', 'want', 'removed,', 'contact', 'delete', 'video', 'soon', 'possible,', 'drama!', '.........', 'follow', 'swagytracks', 'facebook', '•', 'http://www.facebook.com/swagytracks', 'twitter', '•', 'https://twitter.com/swagytracks', 'soundcloud', '•', 'https://soundcloud.com/swagytracks', '.........', 'copyright', 'infringement', 'intended', 'song', 'picture.', 'issue', 'posting', 'song', 'picture', 'please', 'contact', 'one', 'social', 'networks', 'youtube', 'private', 'messaging', 'system.', 'received', 'message', 'determined', 'proper', 'owner', 'content', 'removed,', 'drama', 'all.', 'channel', 'strictly', 'promotion', 'towards', 'artists', 'music.', 'try', 'help', 'promote', 'music', 'social', 'networks.']","['abstract neverland', 'abstract neverland ft ruth b prod blulake', 'neverland abstract', 'neverland abstract ft ruth b', 'neverland abstract ruth b', 'abstract', 'neverland', 'ruth b', 'blulake', 'blulake neverland']",1,0,1,Maybe,Y
38pEzuCPkiY,Russ - Waste My Time,24,"['listen', 'full', 'russ', 'playlist', 'here:', 'https://www.youtube.com/playlist?list=pl-xqedcvryxmyex2fgajc2_ldnyboh0ak', 'download', 'track', '•', 'http://eargasmic.me/1vs3nx7', '•', 'russ', '-', 'https://www.instagram.com/russ', 'https://soundcloud.com/russ', 'https://www.facebook.com/russtheone', 'https://twitter.com/russdiemon', 'https://www.youtube.com/user/diemondotcom', '.........', 'follow', 'swagytracks', 'facebook', '•', 'http://www.facebook.com/swagytracks', 'twitter', '•', 'https://twitter.com/swagytracks', 'soundcloud', '•', 'https://soundcloud.com/swagytracks']","['hip hop', 'hip hop 2016', 'hip hop music', 'swagytracks']",1,0,1,Maybe,Y
n1MWu17tUbU,Logic - 5AM (Prod. C-Sick),24,"['subscribe', 'swagytracks', 'music', 'daily', '!', 'http://bit.ly/subscribeswagy', '.........', '•', 'logic', '-', 'https://twitter.com/logic301', 'http://www.facebook.com/mindoflogic', 'http://mindoflogic.com/', 'download', 'track', '•', 'http://piff.me/e9615f2', 'picture', 'credit', '•', 'https://www.flickr.com/photos/117317408@n03/12616735133/in/photostream/', 'owner', 'picture', 'want', 'removed,contact', 'delete', 'video', 'soon', 'possible,no', 'drama!', '.........', 'follow', 'swagytracks', 'facebook', '•', 'http://www.facebook.com/swagytracks', 'twitter', '•', 'https://twitter.com/swagytracks', 'soundcloud', '•', 'https://soundcloud.com/swagytracks', 'instagram', '•', 'http://instagram.com/swagytracks', 'tumblr', '•', 'http://swagytracks.tumblr.com', '.........', 'find', 'picture', '•', 'http://bit.ly/133gdoq', '.........', 'copyright', 'infringement', 'intended', 'song', 'picture.', 'issue', 'posting', 'song', 'picture', 'please', 'contact', 'one', 'social', 'networks', 'youtube', 'private', 'messaging', 'system.', 'received', 'message', 'determined', 'proper', 'owner', 'content', 'removed,', 'drama', 'all.', 'channel', 'strictly', 'promotion', 'towards', 'artists', 'music.', 'try', 'help', 'promote', 'music', 'social', 'networks.']","['logic 5am', '5am logic', 'logic', '5am', 'c-sick']",1,0,1,Maybe,Y
nT04upwfsiI,Logic - Ballin (ft. Castro) (Prod. Arthur McArthur),24,"['subscribe', 'swagytracks', 'music', 'daily', '!', 'http://bit.ly/subscribeswagy', '.........', '•', 'logic', '-', 'https://twitter.com/logic301', 'http://www.facebook.com/mindoflogic', 'http://mindoflogic.com/', '•', 'castro', '-', 'https://www.facebook.com/castro301', 'https://twitter.com/cdotcastro', 'download', 'track', '•', ""logic's"", 'new', 'mixtape', ""'welcome"", ""forever'"", '-', 'http://piff.me/e9615f2', 'song', '-', 'http://snd.sc/198j8jm', 'picture', 'credit', '•', 'http://www.flickr.com/photos/cybertakacs', 'owner', 'picture', 'want', 'removed,contact', 'delete', 'video', 'soon', 'possible,no', 'drama!', '.........', 'follow', 'swagytracks', 'facebook', '•', 'http://www.facebook.com/swagytracks', 'twitter', '•', 'https://twitter.com/swagytracks', 'soundcloud', '•', 'https://soundcloud.com/swagytracks', 'instagram', '•', 'http://instagram.com/swagytracks', 'tumblr', '•', 'http://swagytracks.tumblr.com', '.........', 'find', 'picture', '•', 'http://bit.ly/14degsb', '.........', 'copyright', 'infringement', 'intended', 'song', 'picture.', 'issue', 'posting', 'song', 'picture', 'please', 'contact', 'one', 'social', 'networks', 'youtube', 'private', 'messaging', 'system.', 'received', 'message', 'determined', 'proper', 'owner', 'content', 'removed,', 'drama', 'all.', 'channel', 'strictly', 'promotion', 'towards', 'artists', 'music.', 'try', 'help', 'promote', 'music', 'social', 'networks.']","['logic ballin', 'ballin logic', 'logic', 'ballin', 'castro', 'arthur mcarthur']",1,0,1,Maybe,Y
